cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,registered_model_cell,successful_target_terms,failed_or_skipped_models,completion_status
charls,transition_gee,base,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,base,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,lifestyle,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,lifestyle,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,0,1,failed_or_skipped
charls,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,True,0,1,failed_or_skipped
charls,transition_gee,mental_health,legacy,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,fixed,False,cognitive_only,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,fixed,False,death,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,fixed,False,functional_only,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,fixed,False,joint,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,wave,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,legacy,wave,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.15,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.15,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm5_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm5_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,cognitive_only,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,death,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,functional_only,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,False,joint,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,True,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,fixed,True,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,wave,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.20,wave,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.25,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,matched_0.25,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,strict,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,mental_health,strict,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_gee,socioeconomic,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee,socioeconomic,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
